BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,STATE,EVENT_TYPE,CZ_NAME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,MAGNITUDE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,FLOOD_CAUSE,MONTH_NAME
201905,27,1613,Ohio,Hail,PLAINS,39.5413,-84.6449,39.4973,-84.3543,,1.56,0,0,8K,,May
202005,8,1647,South Dakota,Hail,PARK,44.01,-99.2797,44.3997,-99.2462,,1.77,0,0,22K,,May
201706,16,1450,North Carolina,Flash Flood,NORTHERN,34.1244,-83.6659,34.2872,-83.6109,,2.7,0,0,157K,Heavy Rain,June
202109,13,0922,North Carolina,Tornado,HIGHLAND,35.4824,-83.2469,35.7744,-83.1534,EF0,0.0,0,0,7K,,September
201504,23,1031,Texas,Hail,VALLEY,27.5752,-95.6444,27.8195,-95.7899,,0.7,0,0,76K,,April
201608,2,1526,Oklahoma,Thunderstorm Wind,HILL,34.1123,-101.444,34.045,-101.3761,,40.6,0,0,28K,,August
201805,27,1650,Oklahoma,Flash Flood,METRO,35.8071,-97.2363,35.7832,-97.2058,,2.0,0,0,203K,Ice Jam,May
201703,14,2118,Oregon,Winter Storm,PLAINS,45.6562,-121.8412,45.5229,-121.8518,,9.5,0,0,53K,,March
201902,26,1525,Nebraska,Thunderstorm Wind,METRO,41.7954,-104.0356,41.8347,-104.1706,,62.9,0,0,4K,,February
201710,23,2237,Pennsylvania,Flash Flood,HIGHLAND,41.9537,-79.8382,42.2533,-80.0147,,2.1,0,0,127K,Planned Dam Release,October
201908,11,0917,Michigan,Thunderstorm Wind,CENTRAL,46.8305,-86.4824,46.9524,-86.4462,,38.5,0,0,25K,,August
201308,29,1914,Indiana,Tornado,CENTRAL,39.2908,-87.9393,39.1984,-87.8447,EF3,0.0,0,0,1.8M,,August
201306,26,0057,Alabama,Tornado,VALLEY,33.451,-88.3934,33.6373,-88.4475,EF3,0.0,0,0,18.1M,,June
201106,9,1951,Kentucky,Thunderstorm Wind,EASTERN,36.7205,-86.9672,36.4963,-86.8623,,100.2,0,0,18K,,June
202212,22,1603,Indiana,Tornado,LAKE,41.4612,-86.4602,41.4008,-86.3515,EF0,0.0,0,0,2K,,December
202411,23,1658,Arkansas,Thunderstorm Wind,DOWNTOWN,36.1395,-93.4245,35.8972,-93.3522,,52.6,0,0,1K,,November
201404,10,0920,Missouri,Hail,PARK,37.3029,-92.038,37.3611,-92.063,,1.39,0,0,37K,,April
201409,24,1010,North Carolina,Hail,PLAINS,34.0853,-78.5543,34.0216,-78.5072,,0.91,0,0,52K,,September
201804,2,1515,Oklahoma,Tornado,VALLEY,34.6627,-102.5617,34.8176,-102.6093,EF0,0.0,0,0,8K,,April
201604,26,0006,Texas,Flash Flood,VALLEY,31.0377,-102.2365,31.1406,-102.2891,,2.0,0,0,91K,Heavy Rain,April
202105,11,2128,Minnesota,Flash Flood,CENTRAL,46.2185,-91.721,46.2272,-91.6387,,2.8,0,0,132K,Heavy Rain,May
201306,18,1929,Iowa,Hail,CENTRAL,43.0454,-92.5757,43.1228,-92.6315,,0.7,0,0,20K,,June
201112,12,1808,Kentucky,Flash Flood,METRO,38.578,-84.9743,38.7654,-84.879,,4.0,0,0,189K,Heavy Rain,December
202207,10,2008,Wisconsin,Hail,PLAINS,43.0797,-91.9515,42.9157,-91.892,,1.02,0,1,5K,,July
201609,17,1610,Minnesota,Tornado,DOWNTOWN,43.7981,-92.6218,43.6694,-92.5841,EF1,0.0,0,0,117K,,September
201707,13,1731,Colorado,Thunderstorm Wind,BASIN,39.2678,-103.7152,39.0812,-103.7631,,63.3,0,0,12K,,July
202104,27,1309,Ohio,Flash Flood,RIDGE,38.9377,-80.6653,38.8655,-80.4496,,1.9,0,0,12K,Ice Jam,April
201908,23,1856,Georgia,Thunderstorm Wind,PLAINS,30.8812,-81.2609,30.7683,-81.3951,,55.3,0,0,63K,,August
202205,23,1937,Pennsylvania,Tornado,LAKE,40.5297,-76.9693,40.6766,-76.9555,EF1,0.0,0,0,103K,,May
201404,21,1301,Kansas,Thunderstorm Wind,HILL,37.7308,-101.3581,37.722,-101.3455,,50.4,0,0,34K,,April
201105,2,1405,Mississippi,Flash Flood,HILL,33.3321,-89.9162,33.0383,-89.918,,2.7,0,0,90K,Dam / Levee Break,May
201811,3,0908,North Carolina,Wildfire,NORTHERN,34.6525,-79.4345,34.2772,-79.6901,,1840.0,0,0,573K,,November
201307,17,1344,Virginia,Thunderstorm Wind,WESTERN,37.6138,-80.2587,37.6292,-80.2808,,89.2,0,0,8K,,July
202309,19,1410,Alabama,Tornado,CENTRAL,32.3593,-87.6171,32.5529,-87.5142,EF0,0.0,0,0,1K,,September
202409,9,1127,Mississippi,Hurricane,VALLEY,32.7755,-90.1356,32.7869,-90.1347,,155.4,0,0,16.0M,,September
201205,8,0222,Tennessee,Thunderstorm Wind,SOUTHERN,36.5586,-87.5027,36.6322,-87.3227,,64.5,0,0,11K,,May
201509,15,2009,Utah,Wildfire,COASTAL,41.6033,-112.3589,41.4965,-112.1533,,2797.0,0,0,9.4M,,September
202106,9,0038,Arizona,Thunderstorm Wind,MOUNTAIN,36.9622,-113.1708,36.8509,-113.0321,,60.5,0,0,11K,,June
201510,23,1118,Texas,Hurricane,RIDGE,32.2167,-100.4065,32.2862,-100.6361,,81.0,0,0,10.4M,,October
202110,24,2327,Missouri,Tornado,VALLEY,39.036,-93.7734,39.2175,-93.7344,EF1,0.0,0,0,92K,,October
201609,11,1624,Louisiana,Hurricane,GROVE,30.7602,-93.371,30.8112,-93.2705,,126.9,0,3,10.7M,,September
202003,9,1717,Alabama,Tornado,BASIN,34.5696,-87.7709,34.5832,-87.9389,EF0,0.0,0,0,5K,,March
202402,16,1924,Minnesota,Thunderstorm Wind,RIVER,47.1003,-93.7816,47.2212,-93.68,,47.3,0,0,40K,,February
201910,30,1955,Iowa,Thunderstorm Wind,COASTAL,43.4324,-91.7576,43.4018,-91.7412,,110.6,0,0,4K,,October
201907,12,1124,Iowa,Thunderstorm Wind,WESTERN,42.9298,-91.0063,42.8331,-91.0153,,45.9,0,0,24K,,July
201202,13,2317,Michigan,Winter Storm,EASTERN,42.7162,-87.0176,43.1376,-87.1056,,16.4,0,0,64K,,February
201312,21,1006,Vermont,Winter Storm,CENTRAL,44.6148,-73.0649,44.5733,-73.1543,,8.0,0,0,111K,,December
202404,21,1707,Arizona,Wildfire,HILL,33.1145,-112.125,33.2066,-112.0352,,9328.0,0,0,334K,,April
201502,10,0544,Idaho,Winter Storm,METRO,47.6097,-114.1542,47.5736,-114.1389,,8.3,0,0,155K,,February
201801,3,1826,Oklahoma,Tornado,CENTRAL,33.7185,-97.3906,33.7441,-97.5503,EF2,0.0,0,0,405K,,January
201105,11,1545,Michigan,Thunderstorm Wind,EASTERN,46.6518,-86.6826,46.3039,-86.9828,,52.4,0,0,15K,,May
201212,27,0359,Connecticut,Winter Storm,RIDGE,41.4936,-72.9535,41.4938,-72.7326,,2.3,0,0,12K,,December
201007,18,1623,Missouri,Hail,CREEK,39.2685,-95.6219,39.214,-95.7943,,0.47,0,0,18K,,July
201203,12,1816,Idaho,Winter Storm,PLAINS,45.6534,-115.2486,45.7816,-115.3686,,11.0,0,0,49K,,March
202309,3,1528,Kansas,Hail,PARK,39.8066,-101.6538,40.0967,-101.3597,,0.61,0,0,8K,,September
201104,3,1908,Arkansas,Thunderstorm Wind,CREEK,34.1214,-92.7962,33.9895,-92.454,,64.6,0,0,36K,,April
202307,2,0227,Florida,Hurricane,COASTAL,25.2928,-81.1219,25.2861,-80.9283,,114.5,0,4,10.9M,,July
201408,31,2222,Colorado,Wildfire,CENTRAL,38.5901,-104.9483,38.5941,-104.8627,,10499.0,0,0,4.7M,,August
201806,25,2037,Ohio,Thunderstorm Wind,LAKE,41.758,-83.1166,41.5241,-82.9715,,87.7,0,0,7K,,June
201806,16,1005,Illinois,Thunderstorm Wind,HILL,40.9771,-89.9436,41.0965,-90.0107,,59.3,0,0,13K,,June
202303,21,1356,South Dakota,Flash Flood,GROVE,45.7337,-99.6419,45.7372,-99.7319,,5.7,2,1,144K,Heavy Rain / Burn Area,March
201409,2,0640,Louisiana,Hurricane,EASTERN,32.0996,-91.517,32.1382,-91.3902,,156.5,0,0,2.6M,,September
201106,4,1830,Florida,Flash Flood,MOUNTAIN,28.1686,-80.1357,28.0191,-79.9508,,1.0,2,2,71K,Heavy Rain,June
201904,21,1247,Minnesota,Flash Flood,COASTAL,43.7366,-93.6447,43.7805,-93.883,,2.9,0,0,210K,Heavy Rain,April
201610,31,0504,Louisiana,Hurricane,LAKE,31.6067,-89.643,31.5746,-89.7627,,105.4,0,0,7.8M,,October
202409,17,0731,California,Wildfire,GROVE,32.9286,-114.7605,32.7348,-114.7076,,49649.0,0,0,1.6M,,September
202109,14,2303,North Carolina,Hurricane,SOUTHERN,36.5125,-81.5662,36.4555,-81.5097,,156.6,0,0,18.9M,,September
202012,12,2237,Kansas,Winter Storm,SOUTHERN,39.3874,-98.0074,39.414,-97.9637,,16.7,0,0,170K,,December
201206,12,0343,Ohio,Flash Flood,NORTHERN,41.2075,-82.8819,41.1067,-82.6603,,2.4,0,0,159K,Planned Dam Release,June
202310,31,1233,Georgia,Thunderstorm Wind,CENTRAL,31.1066,-85.296,31.0195,-85.1918,,64.0,0,0,29K,,October
201907,27,2107,North Carolina,Thunderstorm Wind,METRO,34.0536,-82.3118,34.2029,-82.1661,,60.4,0,0,12K,,July
201207,21,1448,Illinois,Thunderstorm Wind,WESTERN,40.9705,-90.8245,40.9299,-90.9638,,48.3,0,0,3K,,July
201112,16,1455,Arkansas,Flash Flood,RIVER,33.2339,-91.6352,33.4497,-91.6568,,3.4,0,0,1.0M,Dam / Levee Break,December
202009,20,1854,Texas,Flash Flood,RIVER,32.6259,-95.3834,32.6395,-95.1156,,3.5,0,0,262K,Heavy Rain,September
201007,23,1431,North Carolina,Flash Flood,WESTERN,35.8866,-83.1458,36.0554,-83.1478,,1.2,0,0,83K,Heavy Rain,July
201505,10,0731,California,Wildfire,LAKE,40.8868,-116.5664,41.0034,-116.6878,,14341.0,0,0,253K,,May
201407,26,0642,Kansas,Thunderstorm Wind,METRO,38.4434,-96.2334,38.2709,-96.1266,,44.7,0,0,9K,,July
201506,22,1814,Mississippi,Thunderstorm Wind,VALLEY,31.7065,-90.7179,31.7167,-90.6357,,75.1,0,0,2K,,June
202109,1,2037,North Carolina,Hurricane,HILL,35.5178,-76.4699,35.4895,-76.5336,,108.2,0,3,16.6M,,September
201202,23,0150,Wisconsin,Winter Storm,COASTAL,47.0762,-87.1388,47.0371,-87.0128,,9.0,0,0,45K,,February
202405,7,1110,Tennessee,Thunderstorm Wind,WESTERN,35.0985,-82.0411,35.0437,-82.2475,,51.3,0,0,7K,,May
202204,9,1840,Arizona,Thunderstorm Wind,HIGHLAND,32.641,-113.198,32.4665,-113.1737,,72.0,0,0,3K,,April
202112,27,0540,Massachusetts,Winter Storm,CENTRAL,42.171,-69.9213,42.2229,-69.7429,,7.4,0,1,87K,,December
201606,15,1931,Nebraska,Thunderstorm Wind,COASTAL,42.0712,-95.4497,42.1391,-95.4016,,63.7,0,0,73K,,June
201103,7,0411,Wisconsin,Winter Storm,SOUTHERN,44.6336,-90.9898,44.6629,-91.0225,,6.6,0,0,67K,,March
201305,29,1913,Colorado,Tornado,NORTHERN,38.5968,-108.8507,38.723,-108.6831,EF3,0.0,0,0,12.4M,,May
201304,3,1837,Florida,Tornado,EASTERN,25.3339,-81.6656,25.4813,-81.6148,EF1,0.0,0,0,15K,,April
202105,10,1530,Oklahoma,Thunderstorm Wind,DOWNTOWN,35.581,-99.6021,35.4769,-99.6781,,82.5,0,0,26K,,May
201711,1,2043,North Carolina,Thunderstorm Wind,COASTAL,36.5557,-81.202,36.5403,-80.9323,,80.8,0,0,7K,,November
202306,19,1958,New York,Thunderstorm Wind,COASTAL,41.8559,-73.7155,41.6136,-73.5672,,65.7,0,1,7K,,June
201709,23,1401,Mississippi,Tornado,HIGHLAND,34.7367,-91.5168,34.7335,-91.5917,EF1,0.0,0,0,34K,,September
201307,4,1838,Colorado,Tornado,SOUTHERN,39.1265,-105.7194,39.279,-105.6858,EF2,0.0,0,0,81K,,July
201210,26,0749,Oklahoma,Wildfire,EASTERN,34.32,-102.226,34.1103,-102.3254,,50248.0,0,0,3.1M,,October
201011,19,0952,North Dakota,Winter Storm,RIVER,47.8792,-100.1841,47.6629,-100.2616,,12.6,0,0,13K,,November
202105,25,1350,Kansas,Thunderstorm Wind,RIDGE,39.0581,-95.6769,38.9716,-95.6298,,53.1,0,0,37K,,May
202305,11,1633,Tennessee,Thunderstorm Wind,HILL,36.0376,-84.8751,36.0482,-85.0515,,49.4,0,1,8K,,May
201305,27,1549,Michigan,Flash Flood,HILL,46.7188,-86.6196,46.9747,-86.4517,,3.4,0,0,26K,Heavy Rain,May
202105,16,1555,Illinois,Tornado,VALLEY,39.5758,-87.6512,39.7274,-87.767,EF0,0.0,0,0,6K,,May
202103,4,1056,Indiana,Tornado,MOUNTAIN,40.3066,-87.0234,40.3658,-87.1655,EF3,0.0,0,0,5.0M,,March
202206,11,0640,Oregon,Wildfire,DOWNTOWN,44.5045,-116.5525,44.6444,-116.4799,,3656.0,0,0,122K,,June
201309,10,1514,Georgia,Thunderstorm Wind,HILL,34.9312,-81.2507,35.0433,-81.2421,,45.4,0,0,23K,,September
202006,23,1225,Colorado,Flash Flood,METRO,37.5089,-107.7601,37.2843,-107.9566,,1.3,0,0,103K,Heavy Rain,June
202307,9,0500,Nebraska,Thunderstorm Wind,NORTHERN,41.7452,-103.9088,41.9018,-103.8498,,42.3,0,0,29K,,July
201110,1,1035,South Dakota,Tornado,GROVE,44.4232,-102.9447,44.4116,-103.0141,EF4,0.0,0,0,11.6M,,October
202105,2,1228,Indiana,Flash Flood,BASIN,37.8738,-86.6507,37.9138,-86.8102,,3.2,0,0,21K,Heavy Rain,May
201205,2,1034,Kentucky,Flash Flood,MOUNTAIN,37.5762,-88.2397,37.4148,-88.3229,,4.6,2,5,183K,Ice Jam,May
201905,18,0939,Colorado,Hail,BASIN,37.3001,-103.9186,37.0119,-103.7493,,0.98,0,0,6K,,May
201504,7,1535,Indiana,Hail,GROVE,40.7366,-87.3897,40.9772,-87.3947,,0.63,0,0,10K,,April
201910,31,1309,Texas,Hurricane,VALLEY,26.7459,-97.768,26.6095,-97.8987,,109.6,0,0,5.3M,,October
201512,2,1048,Illinois,Winter Storm,HILL,40.5794,-91.0364,40.604,-91.1325,,7.0,0,0,39K,,December
201303,14,1432,Alabama,Tornado,VALLEY,31.5423,-88.3846,31.6693,-88.5239,EF0,0.0,0,0,18K,,March
202206,16,1608,North Carolina,Thunderstorm Wind,CENTRAL,35.2424,-81.2655,35.1215,-81.4695,,66.2,0,1,26K,,June
202412,31,1702,South Dakota,Winter Storm,SOUTHERN,44.0573,-99.8882,44.0951,-100.0989,,14.0,0,0,46K,,December
202211,9,0928,Alabama,Thunderstorm Wind,BASIN,30.4483,-85.0965,30.4722,-85.1007,,50.9,0,0,27K,,November
201708,23,2009,Washington,Wildfire,RIVER,46.4782,-118.0417,46.509,-118.1134,,24031.0,0,0,611K,,August
202004,21,1030,Arkansas,Tornado,RIDGE,33.9222,-92.8239,33.8959,-92.9118,EF3,0.0,0,0,8.5M,,April
201806,15,1307,Louisiana,Hurricane,RIVER,29.9539,-90.2644,29.962,-90.1769,,153.9,0,0,818K,,June
202005,4,1249,Montana,Wildfire,VALLEY,45.2184,-108.6427,45.2135,-108.5631,,3952.0,0,0,710K,,May
202304,12,1458,Alabama,Tornado,METRO,31.774,-88.177,31.8398,-88.0248,EF3,0.0,0,0,4.6M,,April
202108,27,2010,New York,Thunderstorm Wind,RIVER,43.9509,-73.4295,44.0815,-73.5502,,38.2,0,0,70K,,August
202002,22,1848,Nebraska,Tornado,COASTAL,42.5706,-103.2386,42.6702,-103.0975,EF0,0.0,0,0,7K,,February
202310,14,1819,Texas,Hurricane,PLAINS,31.1769,-101.1276,31.1871,-101.1318,,78.6,0,0,45.4M,,October
201612,1,1829,Vermont,Winter Storm,HILL,44.6277,-73.13,44.665,-73.0031,,9.4,0,0,176K,,December
201509,22,0603,Florida,Hurricane,MOUNTAIN,28.3861,-81.3992,28.3314,-81.3801,,88.8,2,3,10.4M,,September
201205,10,1552,North Dakota,Tornado,METRO,48.7593,-103.4418,48.7355,-103.4534,EF1,0.0,0,0,21K,,May
201210,19,0135,Texas,Hurricane,CENTRAL,32.7949,-102.1589,32.8301,-102.4383,,155.2,0,0,877K,,October
202305,17,1350,Mississippi,Tornado,NORTHERN,31.9706,-90.7836,32.0026,-90.7322,EF1,0.0,0,0,26K,,May
201304,29,0731,Massachusetts,Winter Storm,CENTRAL,42.7467,-70.6428,42.8383,-70.7079,,11.9,0,0,133K,,April
201109,1,1730,Kansas,Flash Flood,BASIN,39.6081,-97.3829,39.4928,-97.37,,2.2,1,3,33K,Heavy Rain,September
202009,22,1145,Oklahoma,Thunderstorm Wind,PARK,34.5939,-94.6402,34.473,-94.8493,,75.9,0,0,25K,,September
201007,7,1528,New Jersey,Hail,CREEK,39.9903,-75.0481,40.0401,-75.0111,,1.54,0,0,35K,,July
201106,5,1017,Nebraska,Thunderstorm Wind,SOUTHERN,42.2922,-99.7327,42.2239,-99.6702,,45.7,0,1,28K,,June
201207,5,1922,Alabama,Flash Flood,GROVE,30.8652,-86.9578,30.9197,-86.8532,,7.5,0,0,264K,Heavy Rain / Burn Area,July
201408,22,0750,Oklahoma,Hail,PARK,33.6808,-102.5159,33.5473,-102.9303,,0.84,0,0,29K,,August
201704,18,0249,North Dakota,Flash Flood,DOWNTOWN,47.3807,-97.4525,47.4551,-97.3976,,2.7,0,0,150K,Heavy Rain,April
201605,27,0921,Illinois,Thunderstorm Wind,PLAINS,41.7966,-89.0915,41.822,-88.9415,,47.9,0,0,3K,,May
201012,9,1802,Kentucky,Tornado,VALLEY,36.6868,-85.0406,36.7179,-84.9094,EF5,0.0,0,0,173.7M,,December
201109,21,2045,Kentucky,Flash Flood,MOUNTAIN,38.595,-87.696,38.6175,-87.6474,,4.9,0,0,481K,Planned Dam Release,September
201604,12,1414,Alabama,Flash Flood,SOUTHERN,30.5234,-85.1467,30.3583,-85.1825,,2.9,0,0,492K,Heavy Rain / Burn Area,April
201107,2,1749,Colorado,Hail,RIDGE,39.3447,-106.8105,39.4473,-106.9026,,0.53,0,0,39K,,July
202106,21,1220,California,Wildfire,MOUNTAIN,37.9299,-123.8945,37.9024,-123.9911,,10134.0,0,0,640K,,June
202406,17,1646,New York,Hail,SOUTHERN,41.7292,-75.6335,41.3734,-75.7139,,0.7,0,0,97K,,June
202406,18,1343,South Carolina,Hail,RIVER,34.7651,-79.8557,34.723,-79.6232,,0.84,0,0,22K,,June
202406,8,0813,Maryland,Thunderstorm Wind,METRO,39.3867,-77.775,39.3503,-77.9187,,46.9,1,1,20K,,June
201206,2,1746,South Carolina,Thunderstorm Wind,HILL,34.6533,-82.0417,34.5928,-81.9605,,48.8,0,0,10K,,June
201304,3,1019,Arkansas,Flash Flood,CREEK,33.5104,-93.4665,33.405,-93.5826,,2.5,0,0,375K,Heavy Rain,April
201011,28,2249,Florida,Hurricane,EASTERN,28.6034,-82.8869,28.6352,-82.7726,,65.6,0,0,30.8M,,November
202107,10,1430,Texas,Thunderstorm Wind,GROVE,29.435,-103.3273,29.4695,-103.3276,,73.6,0,0,7K,,July
201408,24,1157,Alabama,Flash Flood,WESTERN,33.5253,-88.4099,33.5626,-88.2586,,3.6,0,0,338K,Heavy Rain / Burn Area,August
201703,23,1705,Ohio,Hail,DOWNTOWN,41.984,-84.732,41.896,-84.7304,,1.78,0,0,35K,,March
202011,12,0017,Florida,Hurricane,CREEK,24.9988,-86.1208,24.9883,-86.1765,,96.1,0,0,2.9M,,November
202110,21,0649,Pennsylvania,Flash Flood,DOWNTOWN,42.0746,-79.9853,42.1668,-79.8906,,3.6,0,0,150K,Heavy Rain,October
201601,20,1913,Minnesota,Winter Storm,SOUTHERN,47.4297,-94.4956,47.4135,-94.5606,,2.8,0,0,74K,,January
201709,28,1954,Florida,Thunderstorm Wind,NORTHERN,30.7374,-85.8646,30.9074,-86.0058,,63.1,0,0,23K,,September
201406,25,1753,Oklahoma,Thunderstorm Wind,CREEK,35.3713,-99.3141,35.2267,-99.1242,,84.6,0,0,6K,,June
202106,25,1752,Florida,Flash Flood,GROVE,29.6919,-82.5492,29.5669,-82.2254,,3.6,0,0,204K,Heavy Rain,June
202304,23,1913,Tennessee,Thunderstorm Wind,PLAINS,35.6741,-86.8715,35.8509,-87.0061,,46.8,0,1,12K,,April
201607,8,1530,Mississippi,Thunderstorm Wind,RIDGE,34.1256,-89.0157,34.0229,-89.1182,,88.1,0,0,19K,,July
201407,6,1515,Iowa,Hail,GROVE,43.3408,-94.1215,43.3416,-93.9505,,1.62,0,0,14K,,July
202305,23,1748,Georgia,Hail,METRO,32.5547,-81.3161,32.8008,-81.3931,,1.12,0,0,219K,,May
201304,10,2330,Florida,Tornado,METRO,24.5789,-83.3707,24.5281,-83.3907,EF0,0.0,0,0,2K,,April
201201,22,1617,Louisiana,Thunderstorm Wind,HILL,30.3364,-92.6398,30.4092,-92.6757,,65.7,0,0,72K,,January
201111,26,0828,New York,Winter Storm,HIGHLAND,41.4282,-78.3254,41.1647,-78.3614,,15.2,0,0,7K,,November
202308,27,1731,Minnesota,Tornado,RIDGE,46.5981,-92.1735,46.5369,-92.04,EF4,0.0,0,0,59.2M,,August
201401,25,0553,Kentucky,Winter Storm,MOUNTAIN,36.6271,-83.7935,36.4561,-83.8147,,8.3,0,0,56K,,January
201105,10,1712,Nebraska,Tornado,NORTHERN,42.0605,-99.3553,42.2946,-99.4317,EF2,0.0,0,0,176K,,May
201807,24,2346,Indiana,Hail,HIGHLAND,39.7699,-87.8977,39.867,-88.0224,,0.49,0,0,55K,,July
201209,7,0341,Texas,Thunderstorm Wind,RIDGE,26.1027,-99.2814,26.1198,-99.1195,,44.5,0,0,28K,,September
202012,29,1544,Colorado,Tornado,HILL,37.88,-103.3311,38.0126,-103.2041,EF2,0.0,0,0,793K,,December
201903,6,1447,Indiana,Thunderstorm Wind,BASIN,39.553,-87.2903,39.4538,-87.2151,,78.3,0,0,22K,,March
201509,13,1819,Arkansas,Thunderstorm Wind,VALLEY,36.2884,-91.2957,36.4535,-91.1944,,69.0,0,0,12K,,September
201106,20,2133,Kansas,Flash Flood,METRO,37.1087,-97.4391,36.8214,-97.3974,,1.7,0,0,53K,Heavy Rain,June
201703,10,1332,Kansas,Tornado,COASTAL,38.6452,-100.4363,38.5921,-100.3854,EF0,0.0,0,0,22K,,March
